fpr,tpr,model
0.03812893081761006,0.19780687746193973,LR (None)
0.03812893081761006,0.19876503779410198,LR (None)
0.03852201257861635,0.19876503779410198,LR (None)
0.03852201257861635,0.2045139997870755,LR (None)
0.03891509433962264,0.2045139997870755,LR (None)
0.03891509433962264,0.2048333865644629,LR (None)
0.03930817610062893,0.2048333865644629,LR (None)
0.03930817610062893,0.2051527733418503,LR (None)
0.03970125786163522,0.2051527733418503,LR (None)
0.03970125786163522,0.20557862237836688,LR (None)
0.04009433962264151,0.20557862237836688,LR (None)
0.04009433962264151,0.20664324496965825,LR (None)
0.0404874213836478,0.20664324496965825,LR (None)
0.0404874213836478,0.20824017885659535,LR (None)
0.040880503144654086,0.20824017885659535,LR (None)
0.040880503144654086,0.21164697114872777,LR (None)
0.041273584905660375,0.21164697114872777,LR (None)
0.041273584905660375,0.21292451825827743,LR (None)
0.041666666666666664,0.21292451825827743,LR (None)
0.041666666666666664,0.21643777280953902,LR (None)
0.042059748427672954,0.21643777280953902,LR (None)
0.042059748427672954,0.2166506973277973,LR (None)
0.04245283018867924,0.2166506973277973,LR (None)
0.04245283018867924,0.21771531991908868,LR (None)
0.04284591194968553,0.21771531991908868,LR (None)
0.04284591194968553,0.21877994251038008,LR (None)
0.04323899371069182,0.21877994251038008,LR (None)
0.04323899371069182,0.21909932928776749,LR (None)
0.04363207547169811,0.21909932928776749,LR (None)
0.04363207547169811,0.21973810284254233,LR (None)
0.0440251572327044,0.21973810284254233,LR (None)
0.0440251572327044,0.22037687639731715,LR (None)
0.04481132075471698,0.22037687639731715,LR (None)
0.04481132075471698,0.22293197061641648,LR (None)
0.04520440251572327,0.22293197061641648,LR (None)
0.04520440251572327,0.224103055466837,LR (None)
0.04559748427672956,0.224103055466837,LR (None)
0.04559748427672956,0.22495475353987013,LR (None)
0.045990566037735846,0.22495475353987013,LR (None)
0.045990566037735846,0.22580645161290322,LR (None)
0.046383647798742135,0.22580645161290322,LR (None)
0.046383647798742135,0.22676461194506548,LR (None)
0.046776729559748424,0.22676461194506548,LR (None)
0.046776729559748424,0.22782923453635687,LR (None)
0.04716981132075472,0.22782923453635687,LR (None)
0.04716981132075472,0.22974555520068135,LR (None)
0.04756289308176101,0.22974555520068135,LR (None)
0.04756289308176101,0.231768338124135,LR (None)
0.0479559748427673,0.231768338124135,LR (None)
0.0479559748427673,0.23379112104758862,LR (None)
0.04834905660377359,0.23379112104758862,LR (None)
0.04834905660377359,0.23506866815713828,LR (None)
0.04874213836477988,0.23506866815713828,LR (None)
0.04874213836477988,0.23741083785797934,LR (None)
0.049135220125786166,0.23741083785797934,LR (None)
0.049135220125786166,0.23858192270839987,LR (None)
0.049528301886792456,0.23858192270839987,LR (None)
0.049528301886792456,0.24230810177791973,LR (None)
0.049921383647798745,0.24230810177791973,LR (None)
0.049921383647798745,0.24507612051527733,LR (None)
0.050314465408805034,0.24507612051527733,LR (None)
0.050314465408805034,0.24709890343873098,LR (None)
0.05070754716981132,0.24709890343873098,LR (None)
0.05070754716981132,0.24944107313957203,LR (None)
0.05110062893081761,0.24944107313957203,LR (None)
0.05110062893081761,0.2545512615777707,LR (None)
0.0514937106918239,0.2545512615777707,LR (None)
0.0514937106918239,0.2555094219099329,LR (None)
0.05188679245283019,0.2555094219099329,LR (None)
0.05188679245283019,0.2569998935377409,LR (None)
0.05227987421383648,0.2569998935377409,LR (None)
0.05227987421383648,0.25806451612903225,LR (None)
0.05267295597484277,0.25806451612903225,LR (None)
0.05267295597484277,0.25838390290641966,LR (None)
0.05306603773584906,0.25838390290641966,LR (None)
0.05306603773584906,0.25891621420206534,LR (None)
0.05306603773584906,0.25912913872032367,LR (None)
0.05345911949685535,0.25912913872032367,LR (None)
0.05345911949685535,0.2594485254977111,LR (None)
0.05385220125786164,0.2594485254977111,LR (None)
0.05385220125786164,0.26423932715852233,LR (None)
0.054245283018867926,0.26423932715852233,LR (None)
0.054245283018867926,0.26434578941765147,LR (None)
0.054638364779874216,0.26434578941765147,LR (None)
0.054638364779874216,0.2644522516767806,LR (None)
0.055031446540880505,0.2644522516767806,LR (None)
0.055031446540880505,0.2653039497498137,LR (None)
0.05581761006289308,0.2653039497498137,LR (None)
0.05581761006289308,0.2664750346002342,LR (None)
0.05621069182389937,0.2664750346002342,LR (None)
0.05621069182389937,0.26658149685936333,LR (None)
0.05660377358490566,0.26658149685936333,LR (None)
0.05660377358490566,0.2689236665602044,LR (None)
0.05699685534591195,0.2689236665602044,LR (None)
0.05699685534591195,0.26988182689236667,LR (None)
0.05738993710691824,0.26988182689236667,LR (None)
0.05738993710691824,0.2699882891514958,LR (None)
0.05778301886792453,0.2699882891514958,LR (None)
0.05778301886792453,0.2717981475566911,LR (None)
0.05817610062893082,0.2717981475566911,LR (None)
0.05817610062893082,0.27233045885233687,LR (None)
0.05856918238993711,0.27233045885233687,LR (None)
0.05856918238993711,0.2739273927392739,LR (None)
0.0589622641509434,0.2739273927392739,LR (None)
0.0589622641509434,0.2802086660278931,LR (None)
0.059355345911949686,0.2802086660278931,LR (None)
0.059355345911949686,0.2835089960608964,LR (None)
0.059748427672955975,0.2835089960608964,LR (None)
0.059748427672955975,0.28425423187480037,LR (None)
0.060141509433962265,0.28425423187480037,LR (None)
0.060141509433962265,0.2845736186521878,LR (None)
0.06132075471698113,0.2845736186521878,LR (None)
0.06132075471698113,0.287767486426062,LR (None)
0.06210691823899371,0.287767486426062,LR (None)
0.06210691823899371,0.28861918449909507,LR (None)
0.0625,0.28861918449909507,LR (None)
0.0625,0.2890450335356116,LR (None)
0.06289308176100629,0.2890450335356116,LR (None)
0.06289308176100629,0.2911742787181944,LR (None)
0.06328616352201258,0.2911742787181944,LR (None)
0.06328616352201258,0.2920259767912275,LR (None)
0.06367924528301887,0.2920259767912275,LR (None)
0.06367924528301887,0.2973490897476844,LR (None)
0.06407232704402516,0.2973490897476844,LR (None)
0.06407232704402516,0.2988395613754924,LR (None)
0.06446540880503145,0.2988395613754924,LR (None)
0.06446540880503145,0.3009688065580752,LR (None)
0.06485849056603774,0.3009688065580752,LR (None)
0.06485849056603774,0.30267220270414136,LR (None)
0.06525157232704402,0.30267220270414136,LR (None)
0.06525157232704402,0.30448206110933673,LR (None)
0.06564465408805031,0.30448206110933673,LR (None)
0.06564465408805031,0.3056531459597573,LR (None)
0.0660377358490566,0.3056531459597573,LR (None)
0.0660377358490566,0.3057596082188864,LR (None)
0.06643081761006289,0.3057596082188864,LR (None)
0.06643081761006289,0.30671776855104865,LR (None)
0.06643081761006289,0.3069306930693069,LR (None)
0.06643081761006289,0.31140210795273077,LR (None)
0.06682389937106918,0.31140210795273077,LR (None)
0.06682389937106918,0.31321196635792614,LR (None)
0.06721698113207547,0.31321196635792614,LR (None)
0.06721698113207547,0.3136378153944427,LR (None)
0.06761006289308176,0.3136378153944427,LR (None)
0.06761006289308176,0.31385073991270096,LR (None)
0.06761006289308176,0.31597998509528374,LR (None)
0.06800314465408805,0.31597998509528374,LR (None)
0.06800314465408805,0.31778984350047906,LR (None)
0.06839622641509434,0.31778984350047906,LR (None)
0.06839622641509434,0.3181092302778665,LR (None)
0.06878930817610063,0.3181092302778665,LR (None)
0.06878930817610063,0.3194932396465453,LR (None)
0.06918238993710692,0.3194932396465453,LR (None)
0.06918238993710692,0.3203449377195784,LR (None)
0.0695754716981132,0.3203449377195784,LR (None)
0.0695754716981132,0.3217289470882572,LR (None)
0.0699685534591195,0.3217289470882572,LR (None)
0.0699685534591195,0.32215479612477377,LR (None)
0.07036163522012578,0.32215479612477377,LR (None)
0.07036163522012578,0.3224741829021612,LR (None)
0.07075471698113207,0.3224741829021612,LR (None)
0.07114779874213836,0.3225806451612903,LR (None)
0.07114779874213836,0.3229000319386777,LR (None)
0.07154088050314465,0.3229000319386777,LR (None)
0.07154088050314465,0.32492281486213137,LR (None)
0.07193396226415094,0.32492281486213137,LR (None)
0.07193396226415094,0.3296071542638135,LR (None)
0.07232704402515723,0.3296071542638135,LR (None)
0.07232704402515723,0.3304588523368466,LR (None)
0.07272012578616352,0.3304588523368466,LR (None)
0.07272012578616352,0.33162993718726713,LR (None)
0.07311320754716981,0.33162993718726713,LR (None)
0.07311320754716981,0.3320557862237837,LR (None)
0.07389937106918239,0.3320557862237837,LR (None)
0.07389937106918239,0.3323751730011711,LR (None)
0.07429245283018868,0.3323751730011711,LR (None)
0.07429245283018868,0.3335462578515916,LR (None)
0.07468553459119497,0.3335462578515916,LR (None)
0.07468553459119497,0.3342914936654956,LR (None)
0.07547169811320754,0.3342914936654956,LR (None)
0.07547169811320754,0.3348238049611413,LR (None)
0.07586477987421383,0.3348238049611413,LR (None)
0.07586477987421383,0.3354625785159161,LR (None)
0.07625786163522012,0.3354625785159161,LR (None)
0.07625786163522012,0.33620781432982005,LR (None)
0.07665094339622641,0.33620781432982005,LR (None)
0.07665094339622641,0.3372724369211115,LR (None)
0.0770440251572327,0.3372724369211115,LR (None)
0.0770440251572327,0.3379112104758863,LR (None)
0.07743710691823899,0.3379112104758863,LR (None)
0.07743710691823899,0.33812413499414457,LR (None)
0.07783018867924528,0.33812413499414457,LR (None)
0.07783018867924528,0.34078569147237303,LR (None)
0.11988993710691824,0.47290535505163417,LR (None)
0.11988993710691824,0.4737570531246673,LR (None)
0.12028301886792453,0.4737570531246673,LR (None)
0.12028301886792453,0.4748216757159587,LR (None)
0.12067610062893082,0.4748216757159587,LR (None)
0.12067610062893082,0.47503460023421695,LR (None)
0.12106918238993711,0.47503460023421695,LR (None)
0.12106918238993711,0.4754604492707335,LR (None)
0.1214622641509434,0.4754604492707335,LR (None)
0.1214622641509434,0.477376769935058,LR (None)
0.12185534591194969,0.477376769935058,LR (None)
0.12185534591194969,0.478867241562866,LR (None)
0.12224842767295598,0.478867241562866,LR (None)
0.12224842767295598,0.4814223357819653,LR (None)
0.12303459119496855,0.4814223357819653,LR (None)
0.12303459119496855,0.48397743000106463,LR (None)
0.12342767295597484,0.48397743000106463,LR (None)
0.12342767295597484,0.48823592036623015,LR (None)
0.12382075471698113,0.48823592036623015,LR (None)
0.12382075471698113,0.4884488448844885,LR (None)
0.12421383647798742,0.4884488448844885,LR (None)
0.12421383647798742,0.4907910145853295,LR (None)
0.12460691823899371,0.4907910145853295,LR (None)
0.12460691823899371,0.4908974768444586,LR (None)
0.125,0.4908974768444586,LR (None)
0.125,0.49206856169487917,LR (None)
0.1253930817610063,0.49206856169487917,LR (None)
0.1253930817610063,0.49313318428617053,LR (None)
0.12578616352201258,0.49313318428617053,LR (None)
0.12578616352201258,0.49355903332268714,LR (None)
0.12617924528301888,0.49355903332268714,LR (None)
0.12617924528301888,0.4951559672096242,LR (None)
0.12657232704402516,0.4951559672096242,LR (None)
0.12657232704402516,0.495794740764399,LR (None)
0.12696540880503146,0.495794740764399,LR (None)
0.12696540880503146,0.499627382093048,LR (None)
0.12735849056603774,0.499627382093048,LR (None)
0.12735849056603774,0.5013307782391142,LR (None)
0.12775157232704404,0.5013307782391142,LR (None)
0.12775157232704404,0.5021824763121473,LR (None)
0.1281446540880503,0.5021824763121473,LR (None)
0.1281446540880503,0.5044181837538593,LR (None)
0.12853773584905662,0.5045246460129884,LR (None)
0.12853773584905662,0.5054828063451506,LR (None)
0.1289308176100629,0.5054828063451506,LR (None)
0.1289308176100629,0.50803790056425,LR (None)
0.1293238993710692,0.50803790056425,LR (None)
0.1293238993710692,0.5083572873416374,LR (None)
0.13011006289308177,0.5083572873416374,LR (None)
0.13011006289308177,0.5086766741190248,LR (None)
0.13050314465408805,0.5086766741190248,LR (None)
0.13050314465408805,0.5093154476737997,LR (None)
0.13128930817610063,0.5093154476737997,LR (None)
0.13128930817610063,0.5106994570424784,LR (None)
0.13168238993710693,0.5106994570424784,LR (None)
0.13168238993710693,0.5125093154476738,LR (None)
0.1320754716981132,0.5125093154476738,LR (None)
0.1320754716981132,0.5139997870754818,LR (None)
0.13286163522012578,0.5139997870754818,LR (None)
0.13286163522012578,0.5155967209624188,LR (None)
0.13404088050314467,0.5155967209624188,LR (None)
0.13404088050314467,0.5167678058128393,LR (None)
0.13443396226415094,0.5167678058128393,LR (None)
0.13443396226415094,0.5168742680719685,LR (None)
0.13482704402515724,0.5168742680719685,LR (None)
0.13482704402515724,0.5182582774406473,LR (None)
0.13522012578616352,0.5182582774406473,LR (None)
0.13522012578616352,0.5183647396997765,LR (None)
0.13561320754716982,0.5183647396997765,LR (None)
0.13561320754716982,0.5185776642180348,LR (None)
0.1360062893081761,0.5185776642180348,LR (None)
0.1360062893081761,0.5186841264771639,LR (None)
0.1363993710691824,0.5186841264771639,LR (None)
0.1363993710691824,0.5221973810284254,LR (None)
0.13679245283018868,0.5221973810284254,LR (None)
0.13679245283018868,0.5240072394336208,LR (None)
0.13718553459119498,0.5240072394336208,LR (None)
0.13718553459119498,0.5244330884701374,LR (None)
0.13757861635220126,0.5244330884701374,LR (None)
0.13757861635220126,0.5251783242840413,LR (None)
0.13797169811320756,0.5251783242840413,LR (None)
0.13797169811320756,0.5256041733205579,LR (None)
0.13836477987421383,0.5256041733205579,LR (None)
0.13836477987421383,0.5266687959118492,LR (None)
0.13875786163522014,0.5266687959118492,LR (None)
0.13875786163522014,0.5267752581709784,LR (None)
0.1391509433962264,0.5267752581709784,LR (None)
0.1391509433962264,0.5274140317257532,LR (None)
0.13954402515723272,0.5274140317257532,LR (None)
0.13954402515723272,0.5277334185031406,LR (None)
0.139937106918239,0.5277334185031406,LR (None)
0.139937106918239,0.5279463430213989,LR (None)
0.1403301886792453,0.5279463430213989,LR (None)
0.1403301886792453,0.5282657297987863,LR (None)
0.14072327044025157,0.5282657297987863,LR (None)
0.14072327044025157,0.5291174278718195,LR (None)
0.14111635220125787,0.5291174278718195,LR (None)
0.14111635220125787,0.5300755882039817,LR (None)
0.14150943396226415,0.5300755882039817,LR (None)
0.14150943396226415,0.5303949749813691,LR (None)
0.14190251572327045,0.5303949749813691,LR (None)
0.14190251572327045,0.5313531353135313,LR (None)
0.14229559748427673,0.5313531353135313,LR (None)
0.14229559748427673,0.5316725220909188,LR (None)
0.14268867924528303,0.5316725220909188,LR (None)
0.14268867924528303,0.5328436069413393,LR (None)
0.1434748427672956,0.5328436069413393,LR (None)
0.1434748427672956,0.5331629937187267,LR (None)
0.14386792452830188,0.5331629937187267,LR (None)
0.14386792452830188,0.5343340785691473,LR (None)
0.14465408805031446,0.5343340785691473,LR (None)
0.14465408805031446,0.5358245501969552,LR (None)
0.14504716981132076,0.5358245501969552,LR (None)
0.14504716981132076,0.5362503992334717,LR (None)
0.14544025157232704,0.5362503992334717,LR (None)
0.14544025157232704,0.53646332375173,LR (None)
0.14583333333333334,0.53646332375173,LR (None)
0.14583333333333334,0.5365697860108591,LR (None)
0.14622641509433962,0.5365697860108591,LR (None)
0.14622641509433962,0.537208559565634,LR (None)
0.14661949685534592,0.537208559565634,LR (None)
0.14661949685534592,0.5378473331204088,LR (None)
0.1470125786163522,0.5378473331204088,LR (None)
0.1470125786163522,0.5385925689343127,LR (None)
0.1474056603773585,0.5385925689343127,LR (None)
0.1474056603773585,0.5394442670073459,LR (None)
0.14779874213836477,0.5394442670073459,LR (None)
0.14779874213836477,0.5401895028212499,LR (None)
0.14819182389937108,0.5401895028212499,LR (None)
0.14819182389937108,0.5404024273395082,LR (None)
0.14858490566037735,0.5404024273395082,LR (None)
0.14858490566037735,0.5405088895986373,LR (None)
0.14897798742138366,0.5405088895986373,LR (None)
0.14897798742138366,0.5429575215586074,LR (None)
0.14937106918238993,0.5429575215586074,LR (None)
0.14937106918238993,0.5451932290003194,LR (None)
0.1501572327044025,0.5451932290003194,LR (None)
0.1501572327044025,0.5462578515916108,LR (None)
0.1505503144654088,0.5462578515916108,LR (None)
0.1505503144654088,0.547216011923773,LR (None)
0.1509433962264151,0.547216011923773,LR (None)
0.1509433962264151,0.5477483232194187,LR (None)
0.1513364779874214,0.5477483232194187,LR (None)
0.1513364779874214,0.547961247737677,LR (None)
0.15172955974842767,0.547961247737677,LR (None)
0.15172955974842767,0.5495581816246141,LR (None)
0.15212264150943397,0.5495581816246141,LR (None)
0.15212264150943397,0.5500904929202598,LR (None)
0.15251572327044025,0.5500904929202598,LR (None)
0.15251572327044025,0.5506228042159055,LR (None)
0.15330188679245282,0.5506228042159055,LR (None)
0.15330188679245282,0.5513680400298094,LR (None)
0.1540880503144654,0.5513680400298094,LR (None)
0.1540880503144654,0.5515809645480677,LR (None)
0.1544811320754717,0.5515809645480677,LR (None)
0.1544811320754717,0.5521132758437134,LR (None)
0.15487421383647798,0.5521132758437134,LR (None)
